OBJECTID,NYCEM_ID,FACILITY_NAME,ADDRESS,BOROUGH,ZIP_CODE,PHONE,HANDICAP_ACCESS,EXTENDED_HOURS,STATUS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,X,Y,FACILITY_TYPE,Entrance_info,PET_FRIENDLY
28,CC459,Hudson Park Library,66 Leroy St,Manhattan,10014,(212) 243-6876,No,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,982769.0,205187.0,Library,,No
30,CC110,Our Lady of Pompeii NSC - SENIORS ONLY,25 Carmine St,Manhattan,10014,(212) 989-3620,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,983444.999958,205440.999929,Senior center,Entrance on Carmine St.,No
34,CC244,Muhlenberg Library,209 W 23 St,Manhattan,10011,(212) 924-1585,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,985368.0,210525.0,Library,,No
38,CC1037,Petco Union Square - Pet Friendly,860 Broadway,Manhattan,10003,(212) 358-0692,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,987075.0,207871.0,Other,,Yes
40,CC261,Kips Bay Library,446 3 Av,Manhattan,10016,(212) 683-2520,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,989811.0,210266.0,Library,,No
41,CC043,Epiphany Library,228 E 23 St,Manhattan,10010,(212) 679-2645,No,No,OPEN,12p-7p,10a-6p,12p-7p,10a-6p,10a-5p,10a-5p,,989218.0,208168.0,Library,,No
44,CC957,NYC Vaccine Hub - ATC Vaccination Times Square (Pet Friendly),"20 Times Square, 7 Av",Manhattan,10036,,Yes,No,OPEN,7:30a-7p,7:30a-7p,7:30a-7p,7:30a-7p,7:30a-7p,7:30a-7p,7:30a-7p,987979.48728,214779.745031,Other,,Yes
45,CC004,Project Find Woodstock NSC - SENIORS ONLY,127 W 43 St,Manhattan,10036,(212) 575-0693,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,8:30a-5p,988459.573262,214783.9527,Senior center,,No
49,CC091,Columbus Library,742 10 Av,Manhattan,10019,(212) 586-5098,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,986649.0,217970.0,Library,,No
50,CC034,Project Find Clinton NSC - SENIORS ONLY,530 W 55 St,Manhattan,10019,(212) 580-0888,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,986733.999941,219096.999848,Senior center,,No
51,CC463,Find Aid ISC - SENIORS ONLY,141 W 73 St,Manhattan,10023,(212) 787-7710,Yes,Hours may be extended during a heat emergency.,OPEN,9a-7p,9a-7p,9a-7p,9a-7p,9a-7p,,9a-5p,989858.999925,223072.0001,Senior center,,No
52,CC641,JASA Club 76 NSC - SENIORS ONLY,120 W 76 St,Manhattan,10023,(212) 712-0170,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,990365.146222,223531.508367,Senior center,,No
53,CC250,West 65 Street NSC - SENIORS ONLY,250 W 65 St,Manhattan,10023,(212) 874-0860,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,987865.148926,221555.394865,Senior center,,No
57,CC083,St Agnes Library,444 Amsterdam Av,Manhattan,10024,(212) 621-0619,Yes,No,OPEN,10a-6p,10a-7p,10a-7p,10a-7p,10a-6p,10a-6p,,990497.136721,225212.324883,Library,,No
59,CC584,53rd Street,18 West 53 St,Manhattan,10019,(212) 714-8400,Yes,No,OPEN,11a-6p,11a-6p,11a-6p,11a-6p,11a-6p,11a-6p,,990525.853906,216463.939169,Library,,No
63,CC094,Fifty Eighth Street Library,127 E 58 St,Manhattan,10022,(212) 759-7358,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,992745.0,216937.0,Library,,No
64,CC1043,Petco Turtle Bay - Pet Friendly,991 2 Ave,Manhattan,10022,(212) 593-7213,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,993190.0,214896.0,Other,,Yes
66,CC116,Yorkville Library,222 E 79 St,Manhattan,10021,(212) 744-5824,No,No,OPEN,11a-7p,10a-6p,11a-7p,10a-6p,10a-5p,10a-5p,,996317.0,221122.0,Library,,No
67,CC260,Sixty-Seventh Street Library,328 E 67 St,Manhattan,10065,(212) 734-1717,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,995450.0,217951.0,Library,,No
70,CC464,Webster Library,1465 York Av,Manhattan,10021,(212) 288-5049,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997718.0,220048.0,Library,,No
72,CC1040,Petco 86th Lexington NY - Pet Friendly,1280 Lexington Ave,Manhattan,10028,(212) 369-7903,Yes,No,OPEN,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,9a-9p,996515.0,223481.0,Other,,Yes
73,CC117,Ninety Sixth Street Library,112 E 96 St,Manhattan,10128,(212) 289-0908,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,997606.0,225653.0,Library,,No
77,CC524,Aguilar Library,174 E 110 St,Manhattan,10029,(212) 534-2930,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,999900.0,228619.0,Library,,No
78,CC335,Harlem Library,9 W 124 St,Manhattan,10027,(212) 348-5620,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,999942.0,233007.0,Library,,No
79,CC084,Harlem Temple Corps Comm Center,540 Lenox Av,Manhattan,10037,(212) 862-3900,Yes,Hours may be extended during a heat emergency.,OPEN,8a-6p,8a-8p,8a-8p,8a-6p,8a-6p,,,1001043.0,236409.0,Community center,,No
82,CC085,Manhattan Citadel Corps Comm Center,145 E 125 St,Manhattan,10035,(212) 860-3200,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,,,1001686.21048,232397.756994,Community center,,No
83,CC255,Beatrice Lewis NSC - SENIORS ONLY,2322 3 Av,Manhattan,10035,(212) 289-9155,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1002096.00006,232517.999909,Senior center,,No
84,CC253,Robinson,110 E 129 St,Manhattan,10035,(646) 476-4088,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1001804.0,233237.0,Cornerstone Program,,No
85,CC337,One Hundred Twenty-fifth St Library,224 E 125 St,Manhattan,10035,(212) 534-5050,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1002276.0,231831.0,Library,,No
87,CC1030,Harry Belafonte-15th Street Library,203 W 115th St New York NY 10026,Manhattan,10026,212-666-9393,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997120.0,231835.0,Library,,No
88,CC355,One Hundred Fifteenth St Library,203 W 115 St,Manhattan,10026,(212) 666-9393,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,997118.0,231824.0,Library,,No
90,CC251,Bloomingdale Library,150 W 100 St,Manhattan,10025,(212) 222-8030,Yes,No,OPEN,10a-7p,10a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,993159.710236,229257.107389,Library,,No
92,CC461,The Center at the Red Oak NSC - SENIORS ONLY,135 W 106 St,Manhattan,10025,(212) 749-7015,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,8:30a-4p,,,994165.999841,230836.99999,Senior center,,No
93,CC112,Morningside Heights Library,2900 Broadway,Manhattan,10025,(212) 864-2530,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,993997.0,232947.0,Library,,No
94,CC336,Countee Cullen Library,104 W 136 St,Manhattan,10030,(212) 491-2070,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,11a-5p,11a-5p,,1000539.84799,236165.242932,Library,,No
98,CC1018,P.S. 180 Hugo Newman,370 WEST 120TH STREET,Manhattan,10027,,Yes,No,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,996468.0,233499.0,School,,No
99,CC354,George Bruce Library,518 W 125 St,Manhattan,10027,(212) 662-9727,Yes,No,OPEN,12p-7p,12p-7p,12p-7p,12p-7p,11a-6p,11a-6p,,996123.0,235765.0,Library,,No
103,CC937,Thomas Jefferson Recreation Center,2180 1 Av,Manhattan,10029,(212) 860-1383,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,9a-3p,,1001762.6815,228320.688749,Community center,,No
104,CC041,Hamilton Grange NSC - SENIORS ONLY,420 W 145 St,Manhattan,10031,(212) 862-4181,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,999168.000008,239593.999864,Senior center,,No
105,CC356,Hamilton Grange Library,503 W 145 St,Manhattan,10031,(212) 926-2147,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,11a-6p,11a-5p,,998638.558959,240098.904603,Library,,No
107,CC045,Washington Heights,1000 St Nicholas Av,Manhattan,10032,(212) 923-6054,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1000915.51115,243339.964528,Library,,No
109,CC434,Riverstone Senior Life NSC - SENIORS ONLY,99 Fort Washington Av,Manhattan,10032,(212) 927-5600,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,999585.000158,245038.000131,Senior center,,No
116,CC436,YM YWHA ISC - SENIORS ONLY,54 Nagle Av,Manhattan,10040,(212) 569-6200,Yes,No,OPEN,9a-4:30p,9a-4:30p,9a-4:30p,9a-4:30p,9a-4:30p,,9a-4:30p,1003737.00006,252696.999905,Senior center,,No
121,CC338,Rain Inwood NSC - SENIORS ONLY,84 Vermilyea Av,Manhattan,10034,(212) 567-3200,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1005476.99986,254840.999882,Senior center,,No
125,CC339,Washington Heights Star NSC - SENIORS ONLY,650 W 187 St,Manhattan,10033,(212) 781-8331,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1002819.99992,250243.99989,Senior center,,No
128,CC246,Andrew Heiskell Braille & Talking Book Library,40 W 20 St,Manhattan,10011,(212) 206-5400,Yes,No,OPEN,10a-5p,12p-7p,10a-5p,12p-7p,10a-5p,10a-5p,,986089.0,209046.0,Library,,No
133,CC124,Rutgers,200 Madison St,Manhattan,10002,(646) 666-3040,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,986778.87494,198767.515378,Cornerstone Program,,No
136,CC248,Riverside Library,127 Amsterdam Av,Manhattan,10023,(212) 870-1810,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,988608.0,221342.0,Library,,No
137,CC007,Baruch,605 FDR Drive,Manhattan,10002,(212) 477-2541,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,991046.388959,200914.688702,Cornerstone Program,,No
140,CC022,Clinton,120 E 110 St,Manhattan,10029,(929) 281-2814,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,999391.880371,228888.541469,Cornerstone Program,,No
142,CC130,BRC Neighborhood NSC - SENIORS ONLY,30 Delancey St,Manhattan,10002,(212) 533-2020,Yes,Hours may be extended during a heat emergency.,OPEN,8a-3:30p,8a-3:30p,8a-3:30p,8a-3:30p,8a-3:30p,,,986390.261456,201734.106752,Senior center,,No
145,CC111,Goddard Riverside NSC - SENIORS ONLY,593 Columbus Av,Manhattan,10024,(212) 873-6600,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,992386.00012,226350.000106,Senior center,,No
146,CC121,Ottendorfer Library,135 2 Av,Manhattan,10003,(212) 674-0947,No,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,987649.044589,204833.655297,Library,,No
147,CC530,Dyckman Neighborhood Senior Center - SENIORS ONLY,3754 10 Av,Manhattan,10034,(212) 569-7790,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1005818.53416,252982.64003,Senior center,,No
148,CC614,Dyckman Community Center,3782 Tenth Avenue,Manhattan,10022,(646) 429-8447,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1005938.58227,253281.771373,Cornerstone Program,,No
152,CC358,Jefferson Houses NSC - SENIORS ONLY,2205 First Av,Manhattan,10029,(212) 828-6104,Yes,Hours may be extended during a heat emergency.,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1001667.9809,228776.101553,Senior center,,No
155,CC1010,Saint Nicholas SC - SENIORS ONLY,210 West 131st Street,Manhattan,10027,,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,998793.0,235405.0,Senior center,,No
159,CC613,Johnson Community Center,1833 Lexington Ave,Manhattan,10029,(212) 360-7625,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1000264.58968,229533.538686,Cornerstone Program,,No
162,CC467,Carver NSC - SENIORS ONLY,55 E 102 St,Manhattan,10029,(212) 289-2709,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,997982.587352,227500.606728,Senior center,,No
165,CC606,Marble Hill Community Center,5365 Broadway,Bronx,10463,(718) 220-2421,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1009675.61449,258636.415519,Cornerstone Program,,No
171,CC615,Seward Park Community Center,56 Essex Street,Manhattan,10002,(212) 460-8163,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,987396.795204,200446.556834,Cornerstone Program,,No
172,CC247,Project Find Coffeehouse NSC - SENIORS ONLY,331 W 42 St,Manhattan,10036,(646) 545-4621,Yes,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-6p,8a-5p,,,986711.999985,215506.00014,Senior center,,No
173,CC465,East River,404 E 105 St,Manhattan,10029,(212) 384-1220,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1000758.6976,226269.713965,Cornerstone Program,,No
176,CC114,Central Harlem Kennedy NSC - SENIORS ONLY,34 W 134 St,Manhattan,10037,(212) 926-4871,No,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1000758.02471,235253.822193,Senior center,,No
179,CC599,Jackie Robinson NSC - SENIORS ONLY,1301 Amsterdam Ave.,Manhattan,10027,(212) 666-4910,No,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,996344.161167,235038.798673,Senior center,,No
183,CC039,Macomb's Bridge Library,2633 Adam C Powell Blvd,Manhattan,10039,(212) 281-4900,Yes,No,OPEN,10a-6p,10a-6p,11a-7p,11a-7p,10a-5p,10a-5p,,1001983.15982,240419.301023,Library,,No
185,CC050,Grand Coalition of Seniors NSC - SENIORS ONLY,175 Delancy St 4th FlL,Manhattan,10002,(646) 201-4251,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,989309.329436,200977.791664,Senior center,,No
187,CC470,Roosevelt Island Library,524 Main St,Manhattan,10044,(212) 308-6243,Yes,No,OPEN,10a-8p,10a-6p,10a-8p,10a-6p,10a-5p,10a-5p,,998050.714486,216635.190876,Library,,No
192,CC509,Battery Park City Library,175 North End Av,Manhattan,10282,(212) 790-3499,Yes,No,OPEN,10a-6p,11a-7p,10a-6p,11a-7p,10a-5p,10a-5p,,979847.277142,199976.032056,Library,,No
197,CC611,Polo Ground Community Center,3005 Frederick Douglass Blvd,Manhattan,10039,(646) 707-0145,Yes,Hours may be extended during a heat emergency.,OPEN,6p-10p,6p-10p,6p-10p,6p-10p,6p-10p,3p-11p,3p-11p,1001717.55757,242375.401454,Cornerstone Program,,No
198,CC1032,Inwood Library (Temporary Location),4857 Broadway,Manhattan,10034,,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1005177.0,255141.0,Library,,No
208,CC233,High Bridge Library,78 W 168 St,Bronx,10452,(718) 293-7800,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1005402.49107,244580.247615,Library,,No
213,CC1029,Woodstock Library,761 E 160th St Bronx NY 10456,Bronx,10456,718-665-6255,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1010652.0,238291.0,Library,,No
220,CC315,Sebco Senior Programs NSC - SENIORS ONLY,887 Southern Blvd ,Bronx,10459,(718) 617-3465,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1013659.04484,237694.927875,Senior center,Basement,No
224,CC216,Bronxworks East Concourse NSC - SENIORS ONLY,236 E Tremont Av,Bronx,10457,(718) 731-6300,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1010646.00002,248483.000131,Senior center,,No
225,CC452,Grand Concourse Library,155 E 173 St,Bronx,10457,(718) 583-6611,Yes,No,OPEN,10a-8p,10a-7p,10a-8p,10a-7p,10a-5p,10a-5p,,1009126.0,246785.0,Library,,No
227,CC520,Bronxworks Heights NSC - SENIORS ONLY,200 West Tremont Av,Bronx,10453,(718) 299-0300,Yes,Hours may be extended during a heat emergency.,OPEN,8a-5p,8a-5p,8a-5p,8a-5p,8a-5p,,,1007173.00007,249628.000137,Senior center,,No
229,CC024,Tremont Library,1866 Washington Av,Bronx,10457,(718) 299-5177,No,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1012374.0,247530.0,Library,,No
231,CC944,Mass Vaccination Site - Bathgate Contract Postal Station,4006 3rd Ave,Bronx,10457,,Yes,No,OPEN,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,10a-10p,1012418.58407,246090.109575,Other,,No
232,CC401,Arturo Schomburg NSC - SENIORS ONLY,1315 Franklin Av,Bronx,10456,(718) 842-6880,Yes,Hours may be extended during a heat emergency.,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1011394.00016,242563.00016,Senior center,,No
233,CC028,Neighborhood SHOPP Innovative Senior Center - SENIORS ONLY,910 E 172 St,Bronx,10460,(718) 542-0222,Yes,No,OPEN,9a-5p,9a-5p,9a-5p,9a-5p,9a-5p,,,1014629.99992,243112.000046,Senior center,,No
236,CC026,Belmont Library,610 E 186 St,Bronx,10458,(718) 933-6410,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1015256.0,250553.0,Library,,No
237,CC314,Thomas Guess NSC - SENIORS ONLY,2070 Clinton Av,Bronx,10457,(718) 584-2357,Yes,No,OPEN,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,8:30a-4:30p,,,1015279.40414,247922.72238,Senior center,,No
239,CC400,West Farms Library,2085 Honeywell Av,Bronx,10460,(718) 367-5376,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1016585.0,247038.0,Library,,No
242,CC519,Bronxworks Morris ISC - SENIORS ONLY,80 E 181 St,Bronx,10453,(718) 933-6671,Yes,No,OPEN,8a-3p,8a-3p,8a-3p,8a-3p,8a-3p,8a-4p,,1010707.99989,250755.99985,Senior center,,No
243,CC309,Francis Martin Library,2150 University Av,Bronx,10453,(718) 295-5287,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-6p,10a-5p,,1009344.0,251688.0,Library,,No
244,CC316,Van Cortlandt Library,3874 Sedgwick Av,Bronx,10463,(718) 543-5150,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1013583.08764,260913.631456,Library,,No
245,CC310,Jerome Park Library,118 Eames Pl,Bronx,10468,(718) 549-5200,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1011564.0,255894.0,Library,,No
247,CC027,Mosholu Library,285 E 205 St,Bronx,10467,(718) 882-8239,Yes,No,OPEN,11a-7p,11a-7p,11a-7p,11a-7p,10a-5p,10a-5p,,1017885.0,257854.0,Library,,No
248,CC222,Woodlawn Heights Library,4355 Katonah Av,Bronx,10470,(718) 519-9627,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1020742.0,267350.0,Library,,No
250,CC033,Soundview Library,660 Soundview Av,Bronx,10473,(718) 589-0880,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1022175.0,237601.0,Library,,No
251,CC334,Castle Hill Library,947 Castle Hill Av,Bronx,10473,(718) 824-3838,Yes,No,OPEN,10a-6p,10a-6p,11a-6p,11a-6p,10a-5p,10a-5p,,1025707.0,240470.0,Library,,No
253,CC350,Clason's Point Library,1215 Morrison Av,Bronx,10472,(718) 842-1235,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1018828.0,241686.0,Library,,No
255,CC333,Parkchester Library,1985 Westchester Av,Bronx,10462,(718) 829-7830,Yes,No,OPEN,10a-8p,10a-8p,10a-8p,10a-8p,10a-5p,10a-5p,,1023431.0,243068.0,Library,,No
257,CC098,Westchester Square Library,2521 Glebe Av,Bronx,10461,(718) 863-0436,No,No,OPEN,11a-7p,10a-6p,11a-7p,10a-6p,10a-5p,10a-5p,,1026672.0,245749.0,Library,,No
258,CC326,Morris Park Library,985 Morris Park Av,Bronx,10462,(718) 931-0636,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023812.11107,248259.000091,Library,,No
259,CC453,Rain Middletown NSC - SENIORS ONLY,3035 Middletown Rd,Bronx,10461,(718) 822-0486,Yes,Hours may be extended during a heat emergency.,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1031562.12157,247020.230419,Senior center,,No
260,CC106,Pelham Parkway-Van Nest Library,2147 Barnes Av,Bronx,10462,(718) 829-5864,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1021825.0,250756.0,Library,,No
263,CC324,Allerton Library,2740 Barnes Av,Bronx,10467,(718) 881-4240,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,,1022086.0,255112.0,Library,,No
264,CC243,Rain Boston East NSC - SENIORS ONLY,3450 Boston Rd ,Bronx,10469,(718) 654-9200,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1026174.00013,258512.000086,Senior center,Program on Second Floor,No
265,CC103,Eastchester Library,1385 East Gun Hill Rd,Bronx,10469,(718) 653-3292,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1027067.0,256352.0,Library,,No
268,CC325,Wakefield Library,4100 Lowerre Pl,Bronx,10466,(718) 652-4663,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-5p,10a-5p,,1023102.0,263958.0,Library,,No
270,CC207,Edenwald Library,1255 E 233 St,Bronx,10466,(718) 798-3355,Yes,No,OPEN,10a-7p,10a-7p,10a-7p,10a-7p,10a-6p,10a-5p,,1028245.0,263152.0,Library,,No
271,CC456,Rain Nereid NSC - SENIORS ONLY,720 Nereid Av,Bronx,10466,(718) 994-0132,Yes,No,OPEN,8a-4p,8a-4p,8a-4p,8a-4p,8a-4p,,,1024678.8709,266469.29782,Senior center,,No
273,CC100,Pelham Bay Library,3060 Middletown Rd,Bronx,10461,(718) 792-6744,Yes,No,OPEN,10a-6p,10a-6p,10a-6p,10a-6p,10a-5p,10a-5p,,1031846.0,246916.0,Library,,No
