name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Alpha School Center/Progressive Living,Chemical Dependency Outpatient Program,2400 Linden Boulevard,,Brooklyn,11208,718-257-5800,http://www.alphaschoolcpl.org,40.665294,-73.874303,1,,,1,,1,,,,1,,1,,1,,1,,,
Counseling Services of EDNY,CS EDNY Outpatient Med Supervised,210 Joralemon Street,3rd Floor,Brooklyn,11201,718-250-5557,http://www.csedny.org,40.692272,-73.990409,1,,1,1,,1,,,,,,,1,1,,1,,,
Bronx Lebanon Hospital Center,Community Residential Program,742-744 Kelly Street,,Bronx,10455,718-861-4400,,40.816874,-73.899051,1,,1,1,,1,,,,,,,1,1,,1,,,1
Bowery Residents Committee Inc,Fred Cooper SASC,127 West 25th Street,10th Floor,New York,10001,212-529-6320-8716,http://www.brc.org,40.74492,-73.993032,1,,,1,,,,,,,,,1,1,,,,,
New York Presbyterian Hospital,Methadone Treatment Clinic,503 East 70th Street,,New York,10021,212-746-1252,http://www.nyp.org,40.765503,-73.954264,1,,1,1,,,1,1,1,1,1,,1,1,,1,1,,
Silver Lake Support Services Inc,Chemical Dependency Outpatient Clinic,201 Forest Avenue,,Staten Island,10301,718-815-3155,http://www.silverlakesupport.com,40.632052,-74.096017,,,1,1,,1,,1,,,,1,,1,,1,1,,
Upper Manhattan MH Center Inc,Aka the Emma Case Management BCM,215-217 West 135th Street,,New York,10030,212-694-3500x11,http://www.bowencsc.org/,40.816018,-73.944676,,,1,1,,1,1,,,1,,,1,1,1,1,,,
ICL Inc,Halsey House,1225 Halsey Street,,Brooklyn,11237,718-386-9224,http://www.iclinc.net,40.693699,-73.907745,,1,,1,,,,,,,,,1,1,,,,,1
Manhattan Psychiatric Center,125th Street Clinic,163 West 125th Street,,New York,10027,212-870-8700,,40.809123,-73.947238,,1,1,1,,1,,,,,,,1,1,1,,,,
South Beach Psych Ctr/Coney Island,Sheepshead Bay Clinic,532 Neptune Avenue,2nd Floor,Brooklyn,11224,718-946-2600,,40.579657,-73.9743,,1,1,1,,1,,,,,,,1,1,1,1,,,
University Settlement Society of NY,Victory Guild Consultation Center,184 Eldridge Street,,New York,10002,212-453-4522,,40.720648,-73.990683,,1,1,1,,1,1,,,,,1,1,1,1,1,,,
Creedmoor Psychiatric Center,CPC/Jamaica Wellness and Recovery Ctr,80-45 Winchester Boulevard,CPC South Campus Bldg 21 1st Floor,Queens Village,11427,718-739-5778,,40.737306,-73.732469,,1,1,1,,1,,,,,,,1,1,1,,,,
Woodhull Medical and Mental Health Ctr,,760 Broadway Street,Psychiatry Department,Brooklyn,11206,718-963-8332,,40.689382,-73.921687,,1,1,1,,1,,,,,,1,1,1,1,1,,1,
Lenox Hill Hospital,Behavioral Health,100 East 77th Street,8Uris,New York,10075,212-434-2000,http://www.lenoxhillhospital.org/,40.773881,-73.960774,,1,1,1,,1,,,,,,,1,1,1,1,,1,
Long Island Consultation Center Inc,,9729 64th Road,,Rego Park,11374,718-896-3400,,40.729636,-73.858414,,1,1,1,,1,,,,,,1,1,1,1,1,,,
JGB MH and Mental Retardation Servs,,15 West 65th Street,,New York,10023,212-769-6263,http://lighthouseguild.org,40.772534,-73.980382,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Jewish Board of Family/Childrens Servs,Child Development and Learning Ctr,34 West 139th Street,Ground Floor,New York,10037,212-690-7234,,40.815591,-73.937049,,1,,1,,1,,,,,,1,,,,1,,,
New York Presbyterian Hospital,School Based Clinic PS 48,4360 Broadway Street,Room 112-A,New York,10033,917-521-3800,http://www.nyp.org,40.865574,-73.927271,,1,1,1,,1,1,,,,,1,1,,,1,1,,
Morris Heights Health Center,Harrison Circle,57 West Burnside Avenue,Level B-1,Bronx,10453,718-839-8900,http://www.mhhc.org,40.854328,-73.909616,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Riverdale Mental Health Assoc Inc,CD Outpatient,5676 Riverdale Avenue,,Bronx,10471,718-796-5300,http://www.rmha.org,40.906261,-73.903697,1,,1,1,,1,,,,,,,1,1,,,,,
Odyssey House Inc,Leadership Center,309-311 East 6th Street,,New York,10003,212-780-1591,http://www.odysseyhouseinc.org,40.727256,-73.987671,1,,,1,,,,,,,,,1,1,,,,,1
Samaritan Village Inc,Residential Drug Free Program,1381 University Avenue,,Bronx,10452,718-681-9300,http://www.samaritanvillage.org,40.8426939157895,-73.9256850476084,1,,1,1,,,1,,1,1,1,,1,1,,1,,,1
United Bronx Parents Inc (UBP),La Casita 1/Mother and Child Program,834 East 156th Street,,Bronx,10455,718-292-9808,http://www.ubpinc.org,40.817435,-73.903355,1,,1,1,,1,,,1,,,,1,1,,,,,1
Daytop Village Inc,Staten Island Outreach,1915 Forest Avenue,,Staten Island,10303,718-981-3136,http://www.daytop.org,40.625849,-74.152774,,,1,1,,1,,,,1,1,1,,1,,1,,,
Bronx Lebanon Hospital Center,Community Residence,1285 Fulton Avenue,,Bronx,10456,718-518-3700-3733,http://www.bronxcare.org,40.832127,-73.903936,1,,,1,,1,,,,,1,,1,1,,,,,1
HELP/PSI Inc,,1401 University Avenue,,Bronx,10452,718-681-8700,http://www.helppsi.com,40.842361,-73.926011,,,,1,,,1,,,1,1,,1,1,,,,,1
Cumberland Diagnostic and Trt Center,Division of Psychiatry,100 North Portland Avenue,,Brooklyn,11205,718-260-7836,http://www.hhc.org,40.6949193580017,-73.9761533153856,1,,1,1,,1,,,,,,,1,1,,1,,,
MH Providers of Western Queens Inc,Western Queens Recovery Services OP,62-07 Woodside Avenue,4th Floor,Woodside,11377,718-898-5085,http://www.mhpwq.org,40.744721,-73.902259,1,,,1,,1,1,,,,,,,1,,1,,,
Beth Israel Medical Center,MMTP Clinic 3G,429 2nd Avenue,3rd Floor,New York,10010,212-726-6823,http://www.wehealny.org/services/psychiatry/index.asp,40.739149,-73.980275,1,,1,1,,1,,,,,,,1,1,,,,,
Lower Eastside Service Center,Pregnant Women and Infants Program,7 Gouverneur Slip East,,New York,10002,212-566-7590,http://www.lesc.org,40.710978,-73.983033,1,,,1,,,,,1,,1,,1,1,,,,1,1
Center for Comp Health Practice Inc,MAP,1900 2nd Avenue,12th Floor,New York,10029,212-360-7797,http://www.CCHPhealthcare.org,40.786115,-73.945713,1,,1,1,,,,,,1,,,1,1,,1,,,
Realization Center Inc OP 1,,175 Remsen Street,2nd Floor,Brooklyn,11201,718-342-6700,http://www.realizationcenternyc.com,40.693496,-73.99137,1,,,1,,1,1,1,,,,1,,1,,,1,,
LI Jewish Med Ctr Zucker Hillside,Div/Adult Partial Hospitalization Prog,75-59 263rd Street,,Glen Oaks,11004,718-470-8130,https://www.northshorelij.com/find-care/locations/zucker-hillside-hospital,40.750708,-73.711823,,1,1,1,,1,,,,,,,1,1,1,1,,,
Metropolitan Hospital Center,Medical Managed Detox,1901 First Avenue,,New York,10029,212-423-7121,http://www.nyc.gov/html/hhc/mhc/html/home/home.shtml,40.784911,-73.944174,1,,,1,,1,,,,,,,1,1,,1,,1,
El Regreso Foundation Inc,Women Residential Drug Treatment Prog,141 South 3rd Street,,Brooklyn,11211,718-384-6400-6830,,40.712555,-73.961861,1,,1,1,,,,,,1,1,,1,1,,,,,1
Staten Island University Hospital,(SIUH) Inpatient Psychiatry Unit,375 Seguine Avenue,,Staten Island,10309,718-226-2440,,40.51698,-74.19614,,1,1,1,,1,,,,,,,1,1,1,,,1,
Paul J Cooper Ctr for Human Services,Mental Health Clinic,887 East New York Avenue,Suite A,Brooklyn,11203,718-467-6441,,40.662934,-73.933244,,1,1,1,,1,,,,,,1,1,1,1,,,,
Puerto Rican Family Institute Inc,Manhattan Mental Health Clinic,145 West 15th Street,5th Floor,New York,10011,212-229-6905,,40.739036,-73.997874,,1,1,1,,1,,,,,,1,1,1,,1,,,
Catholic Charities Neighborhood Servs,Catholic Charities Behavioral Hlth Ctr,161-10 Jamaica Avenue,2nd Floor,Jamaica,11432,718-704-5488,http://ccbq.org,40.70364,-73.797826,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Catholic Charities Neighborhood Servs,Clinic,91-14 37th Avenue,1st and 2nd Floors,Jackson Heights,11372,718-779-1600,http://ccbq.org,40.750554,-73.875407,,1,1,1,,1,,,,,,,1,1,1,1,,,
Mental Hlth Providers of Wn Queens Inc,Western Queens Consultation Center,4404 Queens Boulevard,2nd Floor,Sunnyside,11104,718-476-0076,http://www.mhpwq.org,40.743366,-73.91924,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
FEGS,Hon Caroline K Simon CCs/Bronx Clinic,3600 Jerome Avenue,,Bronx,10467,718-881-7600,http://www.fegs.org,40.885588,-73.878889,,1,1,1,,,,,,,,1,1,1,1,1,,,
New York City Childrens Center,Queens Mid Childhood Clinic at PS 169,110 East 88th Street,PS 169,New York,10128,212-987-2513,https://www.omh.ny.gov/omhweb/facilities/nyccc/,40.780971,-73.955277,,1,1,1,,1,1,,,,,1,,,,1,,,
NYC/HHC Harlem Hospital Center,Division of Child and Adolescent Psych,Samuel Kountz Pavilion,15 West 136th Street 5th Floor,New York,10037,212-939-3370,,40.814037,-73.937452,,1,,1,,1,1,,,1,,1,,,,1,1,,
Elmcor Youth and Adult Activities Inc,Residential,107-06  Northern Boulevard,,Corona,11368,718-651-0096-202,http://www.Elmcor.org,40.757747,-73.861609,1,,,1,,,,,,,1,,1,1,,,,,1
Asian Community Alcohol Counseling,Asian American Mental Health,39-01 Main Street,Suite 508,Flushing,11354,718-445-0111,,40.760122,-73.830181,,,1,1,,1,,,,,,1,1,1,,,,,
United Bronx Parents Inc (UBP),La Casita 3,1006 East 151st Street,,Bronx,10455,718-742-0082,http://www.ubpinc.org,40.814127,-73.903783,1,,,1,,,,,1,,,,1,1,,,,,1
Carnegie Hill Institute Inc,Chemical Dependency Outpatient,116 East 92nd Street,,New York,10128,212-289-7166,http://www.carnegiehill.com,40.783481,-73.953819,1,,,1,,1,,,,,,1,1,1,,,,,
Interfaith Medical Center,Substance Abuse Detoxification,1545 Atlantic Avenue,,Brooklyn,11213,718-613-4330,http://www.interfaithmedical.com,40.678221,-73.937553,1,,1,1,,1,,,,,,,1,1,,1,,1,
Odyssey House Inc,Mabon Community 2,Mabon Building 13,Wards Island,New York,10035,212-426-6677,http://www.odysseyhouseinc.org,40.786148,-73.928711,1,,,1,,,,,,,,,1,1,,,,,1
New Horizon Counseling Center Inc,The Central Avenue Clinic,16-22 Central Avenue,,Far Rockaway,11691,718-845-2620,http://www.nhcc.us,40.604919,-73.75257,,1,1,1,,1,,,,,,1,1,1,1,,,,
Camelot of Staten Island Inc,CD Outpatient Program,263 Port Richmond Avenue,,Staten Island,10302,718-981-8117,http://www.camelotcounseling.com,40.634883,-74.135406,1,,,1,,1,1,1,1,1,1,1,,1,,1,1,,
Counseling Service of EDNY,CD/Outpt Services,163-18 Jamaica Avenue,,Jamaica,11432,718-658-0010,http://www.csedny.org,40.70465,-73.796115,1,,,1,,1,,,,1,1,,1,1,,,,,
Argus Community Inc,Adult Resocialization Unit,507 West 145th Street,,New York,10031,212-234-1660,http://www.arguscommunity.org,40.825773,-73.948157,1,,1,1,,1,,,,,,1,1,1,,,,,
Mount Sinai Medical Center,Psychiatric Continuing Day Treatment,1 Gustave L Levy Place,Box 1268,New York,10029,212-241-6111,,40.790058,-73.95386,,1,1,1,,,,,,,,,1,1,,,,,
Child Center of NY Inc,Elmhurst Clinic Asian Outreach Program,81-14 Queens Boulevard,,Elmhurst,11373,718-899-9810x200,http://www.childcenterny.org,40.737222,-73.881749,,,,1,,1,,,,,,1,1,1,,1,,,
Community Healthcare Network,Dr Betty Shabbazz Health Center,999 Blake Avenue,,Brooklyn,11208,(718) 277-8303,http://www.chnnyc.org,40.669979,-73.881314,,1,1,1,,1,1,1,,1,,,1,1,1,,1,,
Samaritan Village Inc,,68 West 106th Street,,New York,10025,646-790-7364,,40.798779,-73.962519,1,,1,1,,1,,,,,,,1,1,,1,,,1
Lafayette Medical Approach LLC,LaFayette Medical Approach Inc OTP,233 Lafayette Street,,New York,10012,212-966-7193,http://www.lafayettemedical.org,40.722445,-73.996892,1,,,1,,,,,,,,,1,1,,,,,
HELP MMTP Clinic Unit II OTP,,2367-2369 2nd Avenue,1st and 2nd Floors,New York,10035,(212) 876-2300,http://www.harlemeastlifeplan.com,40.800674,-73.935513,1,,1,1,,,,,1,1,1,,1,1,,,,,
Project Renewal,Recovery Center/Outpt Chem Dep Clinic,8 East 3rd Street,,New York,10003,212-533-8400x153,http://www.projectrenewal.org,40.725833,-73.991007,1,,,1,,,,,,,,,1,1,,,,,
NY Psychiatric Institute,Wash Heights Comm Servs Inwood Clinic,26 Sherman Avenue,,New York,10040,212-942-8500,http://nyspi.org/nyspi/patients-and-families/inwood-clinic,40.862981,-73.928447,,1,1,1,,1,1,1,,1,,,1,1,1,1,1,,
Fifth Avenue Counseling Center Inc,,50 West 23rd Street,9th Floor,New York,10010,212-989-2990,http://www.tfacc.org,40.742214,-73.991797,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,
Metropolitan Center for Mental Health,,160 West 86th Street,,New York,10024,212-362-8755,,40.787184,-73.974453,,1,1,1,,1,,,,,,1,1,1,1,1,,,
Franklin House IR,,1064 Franklin Avenue,1st - 5th Floors,Bronx,10456,718-764-1545,http://www.acacianetwork.org,40.82692,-73.906899,1,,1,1,,,,1,,1,1,,1,1,,,1,,1
Metropolitan Center for Mental Health,CD/OP Clinic/Families/Ind in Recovery,1090 Saint Nicholas Avenue,Corner of West 165th Street 1st Floor,New York,10032,212-543-4445,http://www.metropolitancenter.com,40.838127,-73.939478,1,,1,1,,1,,,,,,1,,1,,1,,,
Phoenix House Jack Aron Center,Riverside Community Residential,164 West 74th Street,,New York,10023,212-595-5810,http://www.phoenixhouse.org,40.77955,-73.980238,,,,1,,1,,1,,,,,1,1,,,1,,1
Jacobi Medical Center,Chemical Dependency Detox,1400 Pelham Parkway South,Building 1 10 East,Bronx,10461,718-918-4465,,40.856136,-73.847356,1,,1,1,,1,,,,,,,1,1,,1,,1,
Safe Space NYC Inc,Family Life Clinic,89-74 162nd Street,5th Floor,Jamaica,11432,718-526-2400,http://safespacenyc.org,40.704733,-73.798159,,1,,1,,1,,,,,,1,1,1,1,1,,,
Child Center of NY Inc,Jamaica Clinic,8956 162nd Street,2nd Floor,Jamaica,11432,718-657-7100,http://www.childcenter.org,40.705064,-73.798413,,1,,1,,1,,,,,,1,1,,,,,,
New York Presbyterian Hospital,School Based Clinic PS 189,2580 Amsterdam Avenue,Room 104,New York,10040,212-927-8303,http://www.nyp.org,40.853043,-73.928036,,1,1,1,,1,1,,,,,1,1,,,1,1,,
Astor Servs for Children and Families,Lawrence F Hickey Center,4010 Dyre Avenue,,Bronx,10466,718-515-3000,,40.890957,-73.830622,,1,,1,,,,,,,,1,,,,,,,
Epilepsy Institute,DBA Epilepsy Foundation Counseling Ctr,65 Broadway Street,5th Floor Suite 505,New York,10006,212-677-8550-14,http://www.efmny.org,40.707203,-74.012444,,1,1,1,,,1,,,,,,1,1,1,,,,
Goodwill Industries of Greater NY,PROS Rebound,421 27th Avenue,,Astoria,11102,718-777-6311,http://www.goodwillnynj.org/,40.77432,-73.93286,,1,1,1,,,,,,,,,1,1,1,,,,
Montefiore Medical Center,Child and Adolescent Outpatient,3340 Bainbridge Avenue,,Bronx,10467,718-920-4653,,40.879072,-73.878746,,1,1,1,,1,,,,,,1,1,,,1,,,
Promesa Inc,CD Outpatient Treatment (CDOP),1776 Clay Avenue,,Bronx,10456,718-960-7503,,40.846171,-73.904316,1,,1,1,,1,,,1,,,,1,1,,,,,
Outreach Development Corp OP 2,,960 Manhattan Avenue,2nd and 3rd Floor,Brooklyn,11222,718-847-9233,http://www.opiny.org,40.73206,-73.954233,1,,1,1,,1,,,,,,1,,1,,1,,,
Kingsboro Addiction Treatment Center,Chemical Dep Inpatient Rehab Prog,754 Lexington Avenue,,Brooklyn,11221,718-453-3200,http://www.oasas.ny.gov,40.689967,-73.928811,1,,,1,,1,,,,,,,1,1,,1,,,1
Upper Manhattan Mental Health Center,Chemical Dependency Services,1727 Amsterdam Avenue,,New York,10031,212-694-9200,http://www.bowencsc.org,40.825536,-73.946907,1,,1,1,,1,,,,,,,1,1,,,,,
Woodhull Medical Center,Division of Substance Abuse,760 Broadway,,Brooklyn,11206,718-963-5910,http://www.hhc.org,40.699474,-73.942794,1,,,1,,1,,,,,,,1,1,,1,,1,
Interfaith Medical Center,MMTP,882 Bergen Street,,Brooklyn,11238,718-613-7511,http://www.interfaithmedical.org,40.6772564888081,-73.958128446166,1,,,1,,,,,,,,,1,1,,,,,
Neighborhood Coalition for Shelter Inc,NCS Outpatient Services,921-923 Madison Avenue,Basement,New York,10021,917-677-0722,http://www.ncsinc.org,40.772546,-73.964467,1,,,1,,,,,,,,,1,1,,1,,,
Queens Village Comm for MH for,JCAP Inc,116-30 Sutphin Boulevard,,Jamaica,11434,718-322-2500x619,http://www.jcapprograms.com/,40.681947,-73.792813,1,,1,1,,1,,1,,1,1,,1,1,,1,1,,1
Elmhurst Hospital Center,Opiate Dependency Treatment Services,7901 Broadway,Annex O 2nd Floor Elmhurst Hospital,Elmhurst,11373,718-334-3190,,40.743913,-73.884905,1,,1,1,,1,,,1,1,1,,1,1,,1,,,
Catholic Charities Neighborhood Servs,PROS,91-14 37th Avenue,,Jackson Heights,11372,718-779-1831,http://www.ccbq.org/,40.750554,-73.875407,,1,,1,,,,,,,,,1,1,1,,,,
AIDS Center of Queens County Inc,ACQC,161-21 Jamaica Avenue,6th and 7th Floors,Jamaica,11432,718-896-2500,http://www.acqc.org/,40.704219,-73.797974,,1,1,1,,1,,,,1,,1,1,1,1,1,,,
Fountain House Inc,Wanaque Residence,359 West 47th Street,,New York,10036,212-582-0340,,40.761597,-73.989769,,1,1,1,,,,,,,,,1,1,1,,,,1
NYC/HHC Kings County Hospital Center,Partial Hospitalization Program KCHC,451 Clarkson Avenue,R Building 3rd Floor,Brooklyn,11203,718-245-4956,http://www.nychhc.org,40.656686,-73.943468,,1,1,1,,1,,,,,,,1,1,1,,,,
Fordham/Tremont CMHC,,260 East 188th Street,Floors 2 and 4,Bronx,10458,718-960-3348,,40.860745,-73.895899,,,1,1,,1,,,,,,1,1,1,1,,,,
Samaritan Village Inc,,55 West 125th Street,,New York,10027,212-865-9182,,40.8075,-73.944103,,,,1,,,,,,,1,,1,1,,,,,
Bowery Residents Committee Inc MSW,,127 West 25th Street,3rd Floor,New York,10001,212-533-3281,http://brc.org,40.74492,-73.993032,1,,,1,,,,,,,,,1,1,,1,,,1
Arms Acres Inc,Outpatient Clinic,3584 Jerome Avenue,,Bronx,10467,718-653-1537-110,http://www.armsacres.com,40.8849522961844,-73.8795266291975,1,,1,1,,1,1,,,,,1,,1,,1,,,
Bridge Back to Life Center Inc,,3044 Coney Island Avenue,3rd Floor,Brooklyn,11235,718-265-4200-113,http://www.bridgebacktolife.com,40.582129,-73.96032,,,1,1,,1,,,,,1,1,,1,,1,,,
HELP/PSI Services Corporation,Bronx Health Center,1543-1545 Inwood Avenue,,Bronx,10452,718-681-8700,http://www.helppsi.org,40.844161,-73.916634,,1,1,1,,1,,,,1,,,1,1,1,,,,
Graham/Windham Servs Families Children,Manhattan Mental Health Center,274 West 145th Street,Floor 2,New York,10039,212-368-4100,http://graham-windham.org,40.822637,-73.941405,,1,,1,,1,1,,,,,1,,,,,1,,
Jewish Board of Family/Childrens Servs,Morris L Black Comm Counseling Ctr,2795 Richmond Avenue,,Staten Island,10314,718-761-9800,,40.576995,-74.16744,,1,1,1,,1,,,,,,1,1,1,1,1,,,
NY Psychotherapy Counseling Sanford,Surf Manor,2316 Surf Avenue,,Brooklyn,11224,718-946-1919,http://www.nypcc.org,40.573521,-73.990102,,1,1,1,,,,,,,,,,1,1,,,,
Harlem Bay Network PROS,,116 East 124th Street,,New York,10035,212-876-6083,http://www.mha-nyc.org,40.803977,-73.938796,,1,1,1,,,,,,,,,1,1,1,,,,
Bronx/Lebanon Hospital Center,Inpatient Psychiatric Unit,1265 Franklin Avenue,,Bronx,10456,718-901-8222,http://www.bronxcare.org/,40.831154,-73.903041,,1,1,1,,1,1,,,1,,1,1,1,1,1,,1,
NRI Group LLC,OP,1385 Fulton Avenue,Amber Hall 1st Floor,Bronx,10456,718-579-0805,,40.834339,-73.902326,1,,1,1,,,,,,,,,1,1,,,,,
Interline EAP Program OP,,148-41 Hillside Avenue,Suite A,Jamaica,11435,718-206-1368,http://www.interlinetreatment.com,40.706599,-73.807667,1,,,1,,1,,,,,,,1,1,,,,,
New York Foundling Hospital,Pathway Program,2090 Adam Clayton Powell Jr Boulevard,7th floor,New York,10027,917-485-0201,http://www.nyfoundling.org/program/substance-abuse-treatment-services,40.808812,-73.949043,1,,1,1,,1,,,,,,,1,1,,,,,
Inwood Community Services Inc OP,,651 Academy Street,3rd Floor,New York,10034,212-942-0043x132,http://www.inwoodcs.org,40.866027,-73.924709,1,,,1,,1,,,,,,1,1,1,,1,,,
Canarsie Aware,Outpatient Treatment,1285 Rockaway Avenue,,Brooklyn,11236,718-257-3195,,40.648124,-73.904802,,,1,1,,,,,,,1,,1,1,,,,,
Create Inc,Residential Intensive CD Services,121-123 West 111th Street,,New York,10026,212-678-4990-200,http://www.createinc.org,40.79959,-73.953219,1,,,1,,,1,1,,1,1,,1,1,,,1,,1
Bridge Back to Life Center Inc,,175 Remsen Street,10th Floor Suite 1010,Brooklyn,11201,718-852-5552,http://www.bridgebacktolife.com,40.693404,-73.991547,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,
Harlem Hospital Center,Chem Dep Med Supervised Detox Unit,506 Lenox Avenue 135th Street,,New York,10037,212-939-3150,http://www.ci.nyc.ny.us/html/hhc/home.html,40.812167,-73.936246,,,1,1,,1,,,,,,,1,1,,1,,1,
NYC/HHC Kings County Hospital Center,Kings County Hospital CPEP,451 Clarkson Avenue,,Brooklyn,11203,718-245-2310,http://www.nychhc.org,40.656571,-73.946224,,1,1,1,,1,,,,,,1,1,1,1,1,,1,1
New York Center Addiction Treatment OP,,598 Broadway,2nd Floor,New York,10012,212-966-9537,http://www.nycats.net,40.725184,-73.996942,1,,,1,,,1,,1,1,1,,1,1,,,,,
First Steps to Recovery Inc,Outpatient Chemical Dependency Clinic,2990 Brighton 12th Street,Suite 1-F,Brooklyn,11235,212-397-3711,http://www.firststepstorecovery.com,40.580162,-73.956775,1,,,1,,1,,,,,,,1,1,,,,,
Beth Israel Medical Center,MMTP Clinic 2,103 East 125th Street,4th Floor,New York,10035,212-774-3200,http://www.wehealny.org/services/psychiatry/index.asp,40.805146,-73.938492,1,,1,1,,1,,,,,,,1,1,,,,,
League School,Joan Fenichel Therapeutic Nursery,470 Vanderbilt Avenue,3rd Floor,Brooklyn,11238,718-643-5300,http://league-school.org/,40.683077,-73.96802,,1,,1,,,,,,,,1,,,,,,,
Episcopal Health Services Inc,Saint Johns Episcopal Hosp Day Trt Prg,19-08 Brookhaven Avenue,Saint Johns Community Mental Health,Far Rockaway,11691,718-869-8400,,40.59931,-73.752784,,1,1,1,,,,,,,,,1,1,1,,,,
