ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER_SERVICE,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,HATE_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER_LANGUAGE,WHEELCHAIR_ACCESS,REFERRAL_REQUIRED,ARAB_MIDDLE_EASTERN,ASIAN_PACIFIC_ISLANDER,BLACK_AFRICAN_AMERICAN_AFRICAN,CARIBBEAN_INDO-CARIBBEAN,HISPANIC_LATINO_A_X,SOUTH_ASIAN,JEWISH,HINDU,MUSLIM,SIKH,INDIGENOUS_FIRST_PEOPLE_AMERICAN_INDIAN_NATIVE_AMERICAN,LGBTQ+,TRANSGENDER_AND_GENDER_NONCONFORMING_FOCUS,PEOPLE_WITH_DISABILITIES,BOROUGH,X,Y,WEBSITE
Association to Benefit Children,Cassidy's Place,419 E 86th Street,"New York, NY 10028",212-845-3821,,,,,,,,,,,,,,,,,,,,,1,,1,,,,"Serves preschoolers who live in poverty, have serious developmental and medical disabilities, who are homeless, in foster care, have suffered abuse, violence, and neglect",Monday - Friday: 8 am - 3 pm,,1,,,,,,,,,,,,,1,,1,1,1,1,,,,,,,1,,,,Manhattan,998542,222279,http://www.a-b-c.org/
Association to Benefit Children,Cody House,404 E 91st Street,"New York, NY 10128",212-369-2010,,,,,,,,,,,,,,,,,,,,,1,,1,,,,Serves victims 0 - 3 years of age with developmental delays and serious medical conditions,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,Manhattan,999005,223366,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Echo Park,1841 Park Avenue,"New York, NY 10035",646-459-6165,,1,,,,,,,,1,,,,,,,,,,,1,,1,1,,,Serves victims 0 - 17 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Early Childhood Mental Health Clinic: The Bronx,"1366 Inwood Avenue ","Bronx, NY 10452",929-288-4320,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,Serves victims 0 - 5 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,Bronx,1006723,245279,http://www.a-b-c.org/
Association to Benefit Children,Fast Break Children's Mental Health Clinic: 115th Street,158 E 115th Street,"New York, NY 10029",646-459-6174,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,Serves victims 0 - 17 years of age and their families,Call to inquire about hours of operation,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,Manhattan,1000336,229871,http://www.a-b-c.org/
Association to Benefit Children,Graham School,1841 Park Avenue,"New York, NY 10035",646-459-6029,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Serves preschoolers who live in poverty, have serious developmental and medical disabilities, who are homeless, in foster care, have suffered abuse, violence, and neglect",Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,Keith Haring School,318 E 116th Street,"New York, NY 10029","212-426-3960 ",1,,,,,,,,,,,,,,,,,,,,,,1,,,,Serves victims 0 - 3 years of age with developmental delays and serious medical conditions,Monday - Friday: 8 am - 3 pm,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,Manhattan,1001705,229413,http://www.a-b-c.org/
Association to Benefit Children,Merricat's Castle School,316 E 88th Street,"New York, NY 10128 ",212-534-3656,,,,,,,,,,,,,,,,,,,,,1,,1,,,,Serves preschool-aged children,Call to inquire about hours of operation,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Manhattan,998173,222898,http://www.a-b-c.org/
Association to Benefit Children,Open Door/Saturday Program,"1841 Park Avenue ","New York, NY 10035",646-459-6149,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,Monday - Friday: 9 am - 5 pm,Call to inquire about weekend hours of operation,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,Manhattan,1001413,232811,http://www.a-b-c.org/
Association to Benefit Children,Supportive Housing,318 E 116th Street,"New York, NY 10029","212-426-3960 ",3,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,Serves families living with HIV/AIDS,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,Manhattan,1001705,229413,http://www.a-b-c.org/
Association to Benefit Children,Youth Services,"1841 Park Avenue ","New York, NY 10035",646-459-6175,,,,,,,,,,,,,,,,,,,,,1,,,1,,,Serves victims 5 - 21 years of age living in poverty and emotional distress,Monday - Friday: 2:30 pm - 6pm (school year),,1,,,,,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,Manhattan,1001413,232811,http://www.a-b-c.org/
Atlas DIY Corporation,Brooklyn Office,"462 36th Street, Suite PH-B ","Brooklyn, NY 11232",347-599-1641,,,1,1,1,1,,,,,,,,1,,,1,1,1,1,1,,,1,,,Serves immigrant youth 14 - 24 years of age,Monday - Friday: 10 am - 6 pm,,1,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,Brooklyn,983454,177218,http://www.atlasdiy.org/
Barrier Free Living,Barrier Free Living Apartments,"637 E 138th Street ","Bronx, NY 10454",929-281-2261,,1,1,,1,,1,1,,,,1,1,1,,,1,1,,,1,,,1,1,1,"Serves residents of supportive housing, call to confirm eligibility",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,Bronx,1007801,232954,https://www.bflnyc.org
"Bronx District Attorney's Office Crime Victims Assistance Unit  ",,198 E 161st Street,"Bronx, NY 10451",718-590-2115,,1,1,,1,1,1,1,,1,,1,1,,,"New York State Office of Victim Services Claim Application Assistance and Advocacy, Criminal Justice Advocacy and Accompaniment, and Crisis Response in Community",1,1,1,1,1,1,,1,1,1,"Call to confirm eligibility ",Monday - Friday: 8:30 am - 11 pm,,1,,,,1,,,,,,,,Interpreters used for all languages but must be ordered in advance,1,,,1,,,1,1,1,1,1,1,1,1,1,1,Bronx,1006064,240261,http://www.bronxda.nyc.gov
"Bronx District Attorney's Office Crime Victims Assistance Unit  ",,4101 White Plains Road,"Bronx, NY 10451","718-798-5892 ",,1,1,,1,1,1,1,,1,,1,1,,,"New York State Office of Victim Services Claim Application Assistance and Advocacy, Criminal Justice Advocacy and Accompaniment, and Crisis Response in Community",1,1,1,1,1,1,,1,1,1,"Call to confirm eligibility ",Monday - Friday: 8:30 am - 11 pm,,1,,,,1,,,,,,,,Interpreters used for all languages but must be ordered in advance,1,,,1,,,1,1,1,1,1,1,,1,1,1,Bronx,1023189,263893,http://www.bronxda.nyc.gov
"BronxWorks, Inc.",Crime Victims Unit /Heights Neighborhood Senior Center,"200 West Tremont Ave. ","Bronx, NY 10453",347-266-2183,,,1,1,1,1,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,Serves NY state resident; identify as a crime victim,"Monday - Friday: 9 am - 5 pm ",,1,,,,,,,,,,,,We use Language Line translation services to provide services in different languages,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,Bronx,1007173,249628,http://www.bronxworks.org/
Brooklyn District Attorney's Office Victim Services Unit,,350 Jay Street,"Brooklyn, NY 11201",718-250-3820,,1,1,1,1,,,,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,1,1,1,1,,1,1,,,,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Brooklyn,987433,192187,http://www.brooklynda.org
Brooklyn Legal Services Corporation A,Shriver Tyler MacCrate Center for Justice,"260 Broadway, Suite 2","Brooklyn, NY 11211",718-487-2300,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,This Organization has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,1,1,1,,1,1,1,1,1,1,,1,1,1,Brooklyn,995461,197483,http://bka.org/
Brooklyn Legal Services Corporation A,Bed-Stuy Office,"619 Throop Avenue  ","Brooklyn, NY 11216",718-487-2300,,,,1,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,1,1,1,1,1,1,1,1,1,1,1,This Organization has Access to Language Line and Therefore can Provide Services in Over 240 Languages,1,,,1,1,,1,1,1,1,1,1,,1,1,1,Brooklyn,1000798,187394,http://bka.org/
"CAMBA, Inc.",Victims Assistance Program,955 Flatbush Avenue,"Brooklyn, NY 11226",718-282-5575,,1,1,1,1,1,1,,,1,,,,1,,,1,,1,1,1,1,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,Preferred from ather agency but t required,,,,,,,,,,,,,,,Brooklyn,995962,175495,https://www.camba.org/
"CAMBA, Inc.","CAMBA Legal Services, Inc.",20 Snyder Avenue,"Brooklyn, NY 11226",718-940-6311,,,,1,,1,,,,,,,,,,"Consumer debt legal services, housing legal services",,,,,,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,996059,175488,https://www.camba.org/programs/legalservices
Cardinal McCloskey Community Services,Child and Family Services Center,529 Courtlandt Avenue,"Bronx, NY 10451",718-993-7700,,1,1,,1,,,,,1,,,,,,"Provide community-based supportive services, foster care and family support programs for families involved in the child welfare system",,,,,,,1,1,,,"Call to confirm eligibility, dependent upon the program and services","Monday- Thursday: 9 am - 8 pm
Friday: 9:00 am - 6 pm","Saturday: 9 am - 6 pm ",1,,,,,,,,,,,,,1,Only for foster care services - referral through NYC Administration for Children's Services (ACS),,1,1,,1,1,1,1,1,1,,1,1,1,Bronx,1006385,236620,http://www.cmcs.org/
Cardinal McCloskey Community Services,Sunrise Drop-in Center,333 East 149th Street,"Bronx, NY 10451",718-993-5495,,1,1,,1,,1,,,1,,,1,,,"Provide 24/7 services to meet the basic needs of youth, offer cots for overnight rest for youth until we are able to locate long-term shelter",,,,,,,,,,,Serves youth 14-24 years of age,"Open 24 hours 7 days a week
",,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,1,1,Bronx,1006285,236863,http://www.cmcs.org/
"Carter Burden Network, Inc. ",CEMAPP - Covello Senior Center,312 E. 109th Street,"New York, NY 10029",917-409-1261,,1,1,1,1,,,,,1,,1,,,,,1,1,1,1,1,1,,,,1,Serves anyone who is 60 years of age or older,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,Call phone number or 311 to make referral,,,,,,,,,,,,,,,Manhattan,1000750,227847,http://www.carterburdennetwork.org/
"Catholic Charities Neighborhood Services, Inc.","Flatbush Addiction Treatment Center ",1463 Flatbush Avenue,"Brooklyn, NY 11210",718-951-9009,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 6 pm,Saturday: 9 am - 1 pm,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,1,,1,1,1,Brooklyn,998276,170602,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.","Corona Behavioral Health Center ","91-14 37th Avenue ","Jackson Heights, NY 11372",718-779-1600,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday - Sunday: 9 pm - 5 pm,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,,1,1,1,Queens,1018810,212735,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Glendale Mental Health Clinic,67-29 Myrtle Avenue,"Glendale, NY 11385",718-456-7001,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,,1,1,1,Queens,1016018,194985,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Bohan-Denton Flatlands Guidance Center,"2037 Utica Avenue, Second Floor","Brooklyn, NY 11234",718-377-5755,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,Brooklyn,1004554,165948,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Rockaway Mental Health Clinic,"1847 Mott Avenue ","Far Rockaway, NY 11691",718-337-6800,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,,1,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,Queens,1053240,159168,https://www.ccbq.org/
"Catholic Charities Neighborhood Services, Inc.",Jamaica Behavioral Health Center,"161-10 Jamaica Avenue, 2nd Floor","Jamaica, NY 11432",718-804-1682,,,1,,1,,,,1,1,1,,,,,"Health Monitoring (Nurses on Staff), Counseling Services 
",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 8 pm,Saturday - Sunday: 9 pm - 5 pm,1,,,,,,,,,1,,,,1,,1,,1,,,,,,,,,,,,Queens,1040292,195722,https://www.ccbq.org/
Center Against Domestic Violence,Administrative Office,"25 Chapel Street, Suite #904 ","Brooklyn, NY 11201",718-254-9134,,1,1,,1,,1,,,,,1,,,,"Domestic Violence Support Groups,<br> Shelter Services can be Accessed Through the CADV Hotline: 718-439-1000",1,1,1,1,,1,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,Brooklyn,988110,193374,http://www.cadvny.org/
Center for Court Innovation,Red Hook Community Justice Center - CARES (Counseling & Restorative Services),88 Visitation Place,"Brooklyn, NY 11231",646-573-4665,,1,1,,1,,,,,1,,1,1,,1,,1,1,1,1,,1,,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,,1,,1,,1,,,,,,,,1,,,,Brooklyn,981638,186752,https://www.courtinnovation.org/programs/red-hook-community-justice-center
Center for Family Representation,Manhattan Headquarters,"40 Worth Street, Suite 605 ","New York, NY 10013",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,"Call to confirm eligibility ",Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,1,,,1,,,1,Queens and Manhattan Family Courts,1,,1,,1,1,1,1,1,1,1,1,1,1,Manhattan,982312,200527,http://www.cfrny.org/
Center for Family Representation,Queens Community Office,"89-14 Parsons Boulevard , 2nd Floor","Jamaica, NY 11432",212-691-0950,,1,,1,,,,,,,,,,,,,,1,,,,,1,1,1,1,"Call to confirm eligibility ",Monday - Friday: 9 am - 5 pm,,1,,,1,1,,,,,,1,,,1,Queens and Manhattan Family Courts,,,1,,1,1,1,1,1,1,1,1,1,1,Queens,1039090,196294,http://www.cfrny.org/
Children's Aid-Family Wellness Program,Midtown Manhattan,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9 am - 5pm; please call to inquire about availability after 5 pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,,,1,,1,1,1,1,1,1,1,1,1,1,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,Central Harlem,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,,,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9 am - 5pm; please call to inquire about availability after 5 pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,,,,,1,1,1,1,1,1,1,1,1,1,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,Washington Heights,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9 am - 5pm; please call to inquire about availability after 5 pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,,,,,1,1,1,1,1,1,1,1,1,1,Manhattan,991772,213325,http://www.childrensaidnyc.org/
Children's Aid-Family Wellness Program,South Bronx,"711 Third Avenue, Suite 700 ","New York, NY 10017",212-503-6842,,1,1,,1,,,,,1,,,,1,,New York State Office of Victim Services Claim Application Assistance,1,,,,,,1,1,1,1,Call to confirm eligibility. No direct services available at this location. Please call for exact address,Monday - Friday: 9 am - 5pm; please call to inquire about availability after 5 pm,,1,,,,,,,,,,,,,1,Providers are encouraged to submit referral on behalf of clients however we accept self-referrals.,,,,,1,1,1,1,1,1,1,1,1,1,Manhattan,991772,213325,http://www.childrensaidnyc.org/
"Community Agency for Senior Citizens, Inc.",CASC offices,"120 Stuyvesant Place, Suite 409","Staten Island, NY 10301",718-981-6226,,1,1,,1,,,,,,,1,1,,,"Crime Victims Assistance, Elder Abuse Education, Counseling, Advocacy, Information & Referral, Transportation Services, Senior Center Services",,,,,,1,,,,1,Serves anyone who is 60 years of age or older,Monday - Friday: 9 am - 5pm,,1,,,,,,,,,,,,"CASC uses Language Line telephonic interpretation services, in order to provide services in other languages.",1,,,,,,,,,,,,,,,,Staten Island,962696,173649,https://cascsiny.org/
Crime Victims Support Services of the North Bronx Inc.,,1138 Neill Avenue,Bronx New York 10461,718-823-4925,,1,1,,,,1,,,1,,1,,,,,,,1,1,,,1,1,1,1,,Monday - Friday: 9 am - 4:30 pm,,1,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,Bronx,1024521,250412,https://www.guidestar.org/profile/32-0138249
Crime Victims Treatment Center,Main Office/FiDi,"40 Exchange Place, Suite 510","New York, NY 10005",212-523-4728,,,1,1,1,1,,,,1,,1,,,,Trauma-Focused Therapy,1,1,1,1,1,1,,1,1,1,Call to confirm eligibility,Monday - Friday: 9 am - 5 pm,,1,,,1,,,,,,,,,"Hebrew, Gujarati 
",1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Manhattan,981398,196377,http://www.cvtcnyc.org/
Crime Victims Treatment Center,Mount Sinai Morningside,1111 Amsterdam Ave,"New York, NY 10025",212-523-4728,,,1,1,1,,,,1,1,1,1,,,,Emergency Department: Rape Crisis and Domestic Violence Advocates/SAFE treatment,1,1,1,1,1,1,,1,1,1,,"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,994914,232816,http://www.cvtcnyc.org/
Crime Victims Treatment Center,Mount Sinai West,1000 10th Ave,"New York, NY 10019",212-523-4728,,,1,,1,,,,1,1,,1,,,,Emergency Department: Rape Crisis and Domestic Violence Advocates/SAFE treatment,1,1,1,1,1,,,1,1,1,,"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,987882,219698,http://www.cvtcnyc.org/
Crime Victims Treatment Center,Lenox Health,30 7th Ave,"New York, NY 10011",212-523-4728,,,1,,1,,,,1,1,,1,,,,Emergency Department: Rape Crisis and Domestic Violence Advocates/SAFE treatment,1,1,1,1,1,,,1,1,1,,"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Manhattan,984008,208046,http://www.cvtcnyc.org/
Crime Victims Treatment Center,Brookdale Hospital," 1 Brookdale Plaza","Brooklyn, NY 11212",212-523-4728,,,1,,1,,,,1,1,,1,,,,Emergency Department: Rape Crisis and Domestic Violence Advocates/SAFE treatment,1,1,1,1,1,,,1,1,1,,"Open 24 hours 7 days a week
",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Brooklyn,1008562,177893,http://www.cvtcnyc.org/
Day One New York,Bronx Family Justice Center,198 E 161 St,"Bronx, NY 10451",718-508-1220,,1,1,,1,,,,,,,1,1,,,,1,,,,1,,,1,,,Serves NYC-based youth 24 years of age and younger,Monday - Tuesday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,Bronx,1006186,240244,https://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
Day One New York,Manhattan Family Justice Center,80 Centre St,"New York, NY 10013",212-602-2800,,1,1,,1,,,,,,,1,1,,,,1,,,,1,,,1,,,Serves NYC-based youth 24 years of age and younger,Monday - Tuesday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,Manhattan,983763,199873,https://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
